text,U,P,C,category,S,cooked_level,source
My twitterberry doesn't work!,,,,General,,2,tweet_emotions
eating pie right now...  yumm..,,,,General,,1,tweet_emotions
My team pushed a bug that cost the company 50k.,5.0,4.0,5.0,Coding,14.0,4,synthetic
On my way to lake geneva and I miss my laura,,,,General,,3,tweet_emotions
from last Montday's award ceremony  http://twitpic.com/4jkvl,,,,General,,0,tweet_emotions
We murdered someone.,5.0,5.0,5.0,General,15.0,5,synthetic
Will you guy's keep voting for her and ask u'r followers to help to. Only 4days left before competitions close.,,,,General,,2,tweet_emotions
@living_autism BUT on the bright side you're on twitter! Morning!,,,,General,,0,tweet_emotions
@BOYWALT409 actually tear induced,,,,General,,1,tweet_emotions
My friend dropped the production database without backups.,5.0,5.0,5.0,Coding,15.0,5,synthetic
Gosh. Today's weather is HOrriTerrible! Extreme hotness. I'm losing a lot of water weight by doing nothing.  - http://tweet.sg,,,,General,,2,tweet_emotions
"@BedandBreakfsts Thanks, Kelly! You are too sweet!",,,,General,,1,tweet_emotions
@megan_ftw awh i'm sorry  i'm probably going to do the same thing haha.,,,,General,,0,tweet_emotions
Homey missed da bus.,,,,General,,2,tweet_emotions
Ugh i have boom boom pow stuck in my head and i hate that song,,,,General,,4,tweet_emotions
"Home. Tired. Phone then bed.   Good night tweeters, happy mothers day!",,,,General,,0,tweet_emotions
http://twitpic.com/67di2 - This is what I meant when I said my skin is terrible. Plus sunburnt chest.,,,,General,,2,tweet_emotions
@GarethCliff Oh stop boasting already.  I've got a horrible piece o' crap cellphone.  *pulls a tongue*,,,,General,,4,tweet_emotions
im almost to 300 updates. 200 more to goo,,,,General,,1,tweet_emotions
My dad am 50k in credit card debt.,5.0,4.0,5.0,Financial,14.0,4,synthetic
Travel blog up and running!  http://charlenedianetravels.blogspot.com Can't wait to start filling it up with entries! ),,,,General,,0,tweet_emotions
"@merchantships You're welcome!  Math is really *not* my favorite thing but it's also so useful, so...",,,,General,,1,tweet_emotions
@AdamRPhoto ow shitttt i cant come get drunk ihave to go to a photo shoot in portsmouth or sumfink  owwwwwwwwwwwww,,,,General,,4,tweet_emotions
is sitting in her nan's bathroom dying her hair for the x factor auditions tomorrow,,,,General,,2,tweet_emotions
@spotibot I am afraid you've had a bit of a #fail as the last two recommendations aren't available in the UK,,,,General,,3,tweet_emotions
"Neglecting the boy, apparently... I'm outro, for real life",,,,General,,2,tweet_emotions
I deleted the entire codebase.,5.0,5.0,5.0,Coding,15.0,5,synthetic
We committed tax fraud.,5.0,5.0,5.0,Financial,15.0,5,synthetic
FUCK. slept in,,,,General,,4,tweet_emotions
"@inlovewitharmy Southridge was moved a week later cause of Swine flu, i think",,,,General,,3,tweet_emotions
Missing you all deeply,,,,General,,3,tweet_emotions
My friend robbed a bank.,5.0,5.0,5.0,Financial,15.0,5,synthetic
We got sued for 10 million dollars.,5.0,5.0,5.0,Financial,15.0,5,synthetic
@djbelle LMAO!I was JUST thinking how I fucking hate @ least 3 people that I'm following...but I haven't unfollowed em' yet. I'm a loon.,,,,General,,4,tweet_emotions
http://twitpic.com/66mw1 - My poor car,,,,General,,4,tweet_emotions
I got sued for 10 million dollars.,5.0,5.0,5.0,Financial,15.0,5,synthetic
@rexharrislive Thank you very much Rex for FF,,,,General,,2,tweet_emotions
Experiencing pain with paginating ASP.NET ListView controls,,,,General,,3,tweet_emotions
"@alex_roy haha, I actually have it here but it won't hook up to the internet!",,,,General,,1,tweet_emotions
Getting a little mowing the grass in this evening!  fun,,,,General,,1,tweet_emotions
Number 999. My next tweet must be something really special.,,,,General,,2,tweet_emotions
"@chrisettefan nm. dang, you on NOW but i gotta bounce in like 4 minutes  i'm just chilling. the usual.",,,,General,,1,tweet_emotions
@kwwheeler  What's all your fault?,,,,General,,2,tweet_emotions
"Watched Yes Man, it was good  http://tinyurl.com/dbrc88",,,,General,,0,tweet_emotions
My friend ruined the company.,5.0,5.0,5.0,Career,15.0,5,synthetic
@Etsy never noticed that before but you're right! guess that's because my heart is always dreaming of travel...,,,,General,,3,tweet_emotions
"@bopuc Kinda the same here, maybe just a damn good coffee? Same dilemma, tho.",,,,General,,1,tweet_emotions
We deleted the entire codebase.,5.0,5.0,5.0,Coding,15.0,5,synthetic
"@hiracdelest who's the one always working now?  oh yeah, still me.",,,,General,,0,tweet_emotions
My dad crashed the company car into a building.,5.0,5.0,5.0,Career,15.0,5,synthetic
My team just relaxing at home.,1.0,1.0,1.0,General,3.0,0,synthetic
@horsekisser He's an amazing jockey! Saw that Clydesdale commercial too..loved it!,,,,General,,0,tweet_emotions
"About to go to school to help my mother set up for Teacher Appreciation Week. How ironic is that, Natalee?!",,,,General,,4,tweet_emotions
@jomanlk I am trying my best to make my own luck,,,,General,,0,tweet_emotions
@Santiaggo that New Yorker cover was done on a iPhone &amp; I'm jealous that I do not have one!  http://myloc.me/21a4,,,,General,,3,tweet_emotions
My tummy hurts...again,,,,General,,2,tweet_emotions
"@macmuso thank you very much, I'm glad you like them!",,,,General,,0,tweet_emotions
"@aliceqfoodie Wow, you mom has a lot of energy. I'm getting tired just reading your tweet and ur living it.",,,,General,,3,tweet_emotions
Looking forward to a short work week followed by a mini-vacation in Clemson,,,,General,,2,tweet_emotions
@Huntley22 haha fucking hell i know ay. shit son he's just making trouble. we could take him.,,,,General,,4,tweet_emotions
"@SeanyeWest the mind plugs work, but the patent got turned down b/c someone already thought of earplugs and benedryl",,,,General,,4,tweet_emotions
My team crashed the company car into a building.,5.0,5.0,5.0,Career,15.0,5,synthetic
@zhighlife people r weird,,,,General,,3,tweet_emotions
"@evanlyoko Yay! At least I'll get to see you next year! I'm sad, too.",,,,General,,0,tweet_emotions
walking past the school i went to junior high in as it's being torn down,,,,General,,2,tweet_emotions
I am now Vice President of Social and Cultural Affairs at Southwestern College,,,,General,,0,tweet_emotions
looking for my littlest tsutsu...,,,,General,,1,tweet_emotions
@enthropologie It didn't rain.  Lightly misted though.,,,,General,,0,tweet_emotions
&quot;I think you should know this. He's going to break up with you. And I just had to tell you. I'm sorry. I know you love him.&quot;,,,,General,,2,tweet_emotions
"@DanfromAston I have heard that about a lot of programs like that, we go to a large chain of learning centers, sorry for you!",,,,General,,2,tweet_emotions
I'm really bored! My brother went to get his permit! Stay off the roads! Jk lol! It feels like all my friends have abandoned me! Except 1,,,,General,,2,tweet_emotions
"This really sucks, I'm supposed to be home in a couple of days and I'm not  I hate borders and visa's.",,,,General,,2,tweet_emotions
My team aced the exam.,1.0,1.0,1.0,Academic,3.0,0,synthetic
@elmofromok Oh it's been so long I can't remember,,,,General,,2,tweet_emotions
I feel so deflated. No more doggy.,,,,General,,2,tweet_emotions
@clumsyFA yeah! Love my Hawaiian outfit. We reused that for rugby 7 this year with @doublechin,,,,General,,0,tweet_emotions
@_kotenok !!  ... maybe they took one look at you and said &quot;That's our girl!&quot;,,,,General,,2,tweet_emotions
why doesnt he want me anymore,,,,General,,3,tweet_emotions
We totaled my car without insurance.,5.0,4.0,5.0,Financial,14.0,4,synthetic
@lowestformofwit,,,,General,,3,tweet_emotions
My team am fleeing the country.,5.0,5.0,5.0,General,15.0,5,synthetic
I got a promotion.,1.0,1.0,1.0,Career,3.0,0,synthetic
@Devotfeige man that sucks.,,,,General,,4,tweet_emotions
I am completely prepared.,1.0,1.0,1.0,Academic,3.0,0,synthetic
Lula is not feeling well.  http://tinyurl.com/m8kcsq,,,,General,,3,tweet_emotions
#whyareyoustillhere One Tree Hill!!! [[ They cancelled my shows The Game &amp; Everybody Hates Chris n dont NOBODY WATCH U N-E-MORE!!!  ]],,,,General,,4,tweet_emotions
@FafsaHelp i don't know what lender it was? yea these people definitely sucked butt toes. NOT friendly or helpful.,,,,General,,4,tweet_emotions
@cocosbutter its already good...I got to meet you!,,,,General,,0,tweet_emotions
"@SaadZaeem nothing much man, waiting for my Insurance card to come through... Cant get any workdone here w/o it... Redtape",,,,General,,2,tweet_emotions
he just fully yelled @me saying dnt be so fcking stupid grow up! stop with this band shit then... throws the remote at me thnks love u2,,,,General,,4,tweet_emotions
Somebody accidentely sleep for 3 hours instead of 2 and now I can't hang out  WORK BLOWS! sorry @andrew_jones20 and @schmidtfaced,,,,General,,2,tweet_emotions
They are out of ice cream at the Crazy Mocha in SS. This means no Espresso Milkshake..,,,,General,,3,tweet_emotions
I leaked all user data to the dark web.,5.0,5.0,5.0,Coding,15.0,5,synthetic
@juliaiiivir Hey! That's my school! I hate that place.,,,,General,,4,tweet_emotions
My dad was arrested for embezzlement.,5.0,5.0,5.0,Financial,15.0,5,synthetic
My dad just relaxing at home.,1.0,1.0,1.0,General,3.0,0,synthetic
yey finally home,,,,General,,0,tweet_emotions
@Werecat1 good to know   thanks,,,,General,,1,tweet_emotions
"Hummmmm..... ohh  i miss you so much!!! realy, but i hope you have a nice friends, like us :]",,,,General,,3,tweet_emotions
finished a whole box of ice cream,,,,General,,3,tweet_emotions
"@meinj Wish i was out an about, stuck in with a pile of boxes, a sore back and a load of tesco blue shopper bags to fill from the kitchen",,,,General,,2,tweet_emotions
We am fleeing the country.,5.0,5.0,5.0,General,15.0,5,synthetic
My team totaled my car without insurance.,5.0,4.0,5.0,Financial,14.0,4,synthetic
Another Day gone by....  Have to wake up early again tomorrow,,,,General,,4,tweet_emotions
That's how you go from series to season. The days of being an elite team are over in Dallas. EPL Derby Day tomorrow. Tell me what I miss.,,,,General,,2,tweet_emotions
"@4EvaAFanOfPaula hun are you okay? I see alot of your posts your exercising like mad,not eating or sleeping",,,,General,,2,tweet_emotions
@packers4 That's interesting to know... thanks,,,,General,,1,tweet_emotions
"Google Wave presentation: http://bit.ly/2ehfov  I'm not very impressed. It's nice, but it's not really for me",,,,General,,3,tweet_emotions
"I justwatched like, 5 straight episodes of escaped on ID Discovery channel. A guy imprisoned 6 women, killed 2 and cooked them",,,,General,,1,tweet_emotions
@wendy_fred6 *shivers with fear*,,,,General,,2,tweet_emotions
We had a great day.,1.0,1.0,1.0,Social,3.0,0,synthetic
Hum -1 for Bill Bailey,,,,General,,1,tweet_emotions
@joshhebert yeah bit it is overheating a bit and the AC died.,,,,General,,4,tweet_emotions
@vitalstatistiks Since you travel quite often and use online travel sites we would love some feedback on iXiGO.com from you,,,,General,,1,tweet_emotions
@RobbiedaKid no I was too slow  I hate getting the trailhead then not getting in.,,,,General,,4,tweet_emotions
My dad leaked all user data to the dark web.,5.0,5.0,5.0,Coding,15.0,5,synthetic
My friend finished all my work early.,1.0,1.0,1.0,Career,3.0,0,synthetic
Guys i dont think chris loves me   he never show me attenition or affection   i think its time to end it.  What you think?,,,,General,,2,tweet_emotions
"well no phone today, we are waiting till June 9th to get a better deal sooooo  but its all good",,,,General,,2,tweet_emotions
"Good afternoon all. Sorted technical glitch. A rainy BH monday so a lazy day, then daughters and their menfolk round for a roast dinner",,,,General,,1,tweet_emotions
Dump your worries in the Stress Fire. Fun and profoundly freeing  http://budurl.com/c765,,,,General,,0,tweet_emotions
It looks like it might rain,,,,General,,1,tweet_emotions
@jwphillips I have no IPhone (poor credit!).    But I cannot live without my cell phone! I am on mass transit every day!,,,,General,,2,tweet_emotions
We am completely prepared.,1.0,1.0,1.0,Academic,3.0,0,synthetic
"Ugh, i hate waiting in airports. I couldn't find a seat near an outlet either.",,,,General,,4,tweet_emotions
@JazzyLadee1908  I try pretty hard to engage everyone I follow! Some of them lack interesting shit to say so they end up unfollowed,,,,General,,3,tweet_emotions
transferring 368558682 photos is annoying.. I want to watch Up,,,,General,,2,tweet_emotions
my pooooor baby (my dog chachi)  she had surgery todayyyyy,,,,General,,2,tweet_emotions
i hate i hate i hate i hate i hate i hate mother's day.,,,,General,,4,tweet_emotions
We have zero bugs in my code.,1.0,1.0,1.0,Coding,3.0,0,synthetic
"@holmescnn Oh, I didn't realize its on at 830 as well- already at work- or as today still in the car, don't ask",,,,General,,3,tweet_emotions
@1995shand not quite as much...hmmm products in US that are not in Canada?? Idk  Do you have covergirl?,,,,General,,1,tweet_emotions
Shower time,,,,General,,1,tweet_emotions
I wanna be out in the sunshineeeeeee,,,,General,,3,tweet_emotions
I had a great day.,1.0,1.0,1.0,Social,3.0,0,synthetic
Wish I could be heading to LA for E3.  *le sigh* Maybe someday.,,,,General,,3,tweet_emotions
My dad accidentally replied all with an insult.,5.0,4.0,5.0,Social,14.0,4,synthetic
We aced the exam.,1.0,1.0,1.0,Academic,3.0,0,synthetic
HAHA! Follow john mayer..he's a pretty funny guy  I want to move to L.A .... it's so much more fun!,,,,General,,0,tweet_emotions
hmm... now what to do today... i suppose i could revise for my science test :/ or i could just eat cookies and watch films,,,,General,,2,tweet_emotions
Its a gorgeous day and I'm going to work allll day  Just gotta keep telling myself its for NYC!!,,,,General,,3,tweet_emotions
My dad pushed a bug that cost the company 50k.,5.0,4.0,5.0,Coding,14.0,4,synthetic
@Gabrielle_Union don't let anyone run you away from anything,,,,General,,2,tweet_emotions
@mzunyque thanks. before the major chop.,,,,General,,1,tweet_emotions
@jtimberlake Good luck tonight! Canadas east coast is watching,,,,General,,1,tweet_emotions
trying to understand why WHY i joined twitter.....everyone else was doing it i felt left out,,,,General,,1,tweet_emotions
hooome from work. why am i awake still? up in 5 hours,,,,General,,0,tweet_emotions
off work early,,,,General,,2,tweet_emotions
I paid off my loans.,1.0,1.0,1.0,Financial,3.0,0,synthetic
@n_k_mamma TY! Happy Mothers Day to you too! Love ya...Cel,,,,General,,0,tweet_emotions
@iamchrisc haha  cute. ps thanks for the reply made my day haha,,,,General,,0,tweet_emotions
@justinlevy I know! I'm so slow its horrible. DON'T TELL ON ME!,,,,General,,2,tweet_emotions
@shadowsforsale  !!!!!!!!!!!!,,,,General,,1,tweet_emotions
@jtimberlake love the new website,,,,General,,0,tweet_emotions
My last day with my favorite teacher.....im quite sad,,,,General,,2,tweet_emotions
Doesn't have to go to work tomorrow! Good times! Revision though,,,,General,,0,tweet_emotions
Field day is sad. No ribbons for me.,,,,General,,3,tweet_emotions
"Drop the girl she's only got it for your heart she's sure to leave broke and bleeding, and you know she'll turn her back on you.  I lo ...",,,,General,,3,tweet_emotions
@EPMorgan I know!  I can read bt I can't sit outside coz I gota answer the phone,,,,General,,3,tweet_emotions
@beachnerbum I hate June gloom. I was getting so excited for the beach.,,,,General,,4,tweet_emotions
@misssammibaby why are you sad?,,,,General,,3,tweet_emotions
My friend aced the exam.,1.0,1.0,1.0,Academic,3.0,0,synthetic
"@karlismiles indeed, much fail",,,,General,,2,tweet_emotions
@cecamy it's nto as good,,,,General,,3,tweet_emotions
@morrgaan oh no  this week is just a bad one for everyone. i love you &amp; your pretty face &amp; youre going to do fantastic in concert tonight,,,,General,,3,tweet_emotions
@Sera030 heya  40 hour famine starts on may 22nd - are you gonna take part?,,,,General,,0,tweet_emotions
"@greggrunberg I think if I was Kirk, I would have probably stolen that sweet ride from you too.  Fancy in car phone ya talk through GG.",,,,General,,1,tweet_emotions
We leaked all user data to the dark web.,5.0,5.0,5.0,Coding,15.0,5,synthetic
"Sittin at home, hellllllllsssssss yeah   Got the girrrrrl, the boysssss &amp; 2 mangy cats, this is a good time in my life.  Goodnight twitter",,,,General,,0,tweet_emotions
My friend have zero bugs in my code.,1.0,1.0,1.0,Coding,3.0,0,synthetic
@iam151 and you suck horribly  the world is at an even balance,,,,General,,4,tweet_emotions
i am braid free  i miss thee ... BLOND HERE I COME!!,,,,General,,3,tweet_emotions
@sharonhayes #twappy http://bit.ly/D9qVk,,,,General,,0,tweet_emotions
At home now. Feeling very tired. I want to take a nap but I can't.,,,,General,,4,tweet_emotions
"&quot;Isn't she lovely? Isn't she beautiful?&quot; Sorry Stevie, you're not really in a position to make that judgement  #steviewonder",,,,General,,2,tweet_emotions
"I woke up at 5:45. Didn't have a full bladder, wasn't sick... And to top it off, I went for a run. Now I wanna go back to bed",,,,General,,4,tweet_emotions
We failed out of college.,5.0,4.0,5.0,Academic,14.0,4,synthetic
"Poor @IMissBradAndJen 's mom just told her she looked like a hooker.  The skirt wasn't THAT short, and it's 87 degrees out!",,,,General,,3,tweet_emotions
UNC budget  cuts may rise to 18%   http://tinyurl.com/mdm5tp,,,,General,,2,tweet_emotions
@lynnnein Bad rum experience in college - still haven't recovered,,,,General,,4,tweet_emotions
listing to music while putting the finishing touches on my mothers day present and the cool part is it didn't cost my a thing,,,,General,,1,tweet_emotions
"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.",,,,General,,1,tweet_emotions
We was arrested for embezzlement.,5.0,5.0,5.0,Financial,15.0,5,synthetic
"@juicystar007 I can't get in, I'm in a waiting room",,,,General,,2,tweet_emotions
crappy music on the radio,,,,General,,3,tweet_emotions
"Had some pliers blow up in my face today. My mistake, killed the wrong breaker. Wires connected on the pliers, boom. Big chunk gone.",,,,General,,3,tweet_emotions
My team accidentally replied all with an insult.,5.0,4.0,5.0,Social,14.0,4,synthetic
@jocelynseip Thank you - If you like please leave a comment and Subscribe!   Chicago another great musical.  Thanks for your support.,,,,General,,0,tweet_emotions
@kusuma06 aaa new follower! hiii,,,,General,,0,tweet_emotions
I hate the exams . first time and last time in this school  then i'm out ! after 10 years! yaaaay !,,,,General,,4,tweet_emotions
leaving now  off to get my angry teethed pulled....,,,,General,,3,tweet_emotions
3rd day of pain,,,,General,,3,tweet_emotions
@LILELLAY i am! lol its just i got used 2 talkin 2 ya..!,,,,General,,2,tweet_emotions
@Littlebitofmoni I couldn't get used to the columns in tweetdeck.  There was only room for 4 or 5 columns on my macbook.,,,,General,,1,tweet_emotions
"Messed on these   But I'm makin' it right! @taraellis19, @dontennant, @elikamahony Best Holy Day wishes to you all!",,,,General,,3,tweet_emotions
My team got a promotion.,1.0,1.0,1.0,Career,3.0,0,synthetic
watching snl with my ucsd girls and laughing about twitter/blackberry jokes  thought i'd tweet that.,,,,General,,0,tweet_emotions
just saw an advert for ATTICS TO EDEN on tv  out today and only ï¿½9.99 from HMV...so I'm not sure why I had to pay ï¿½13 at HMV...never mind,,,,General,,0,tweet_emotions
"its a beautiful night, im stuck inside feelin ill instead of being a crazzzzzzzy ass party!",,,,General,,3,tweet_emotions
"@miayuthao: You must rest, don't work hard  How abt Cr-chan ?",,,,General,,1,tweet_emotions
@baba_booey it doesn't make up for the pitch,,,,General,,2,tweet_emotions
"@ThePaul it's a modded 360, so you can't send it back?  That Red Ring of Death sucks!  It took weeks to get mine back from Microsoft.",,,,General,,4,tweet_emotions
@nellcon I cannot  I have a full day of activities lol,,,,General,,1,tweet_emotions
@blooddrunk SICK! I'm totally getting GH5!! Too bad you guys didn't get to play in Boston,,,,General,,0,tweet_emotions
@FM1079Oxford A 25 year old zebra with wind? Lol,,,,General,,1,tweet_emotions
"imissu, come back home now honey",,,,General,,2,tweet_emotions
why are matters of the heart so complicated?,,,,General,,2,tweet_emotions
Finally home  Gonna hit the hay n sleep till noon lol,,,,General,,0,tweet_emotions
I went over the limit for actions per hour for twitter clients.  i hate that limit.,,,,General,,4,tweet_emotions
I'm poorly and can't sleep,,,,General,,3,tweet_emotions
No 'rosie day' today  goal is to leav my house b4 my mom gets here hmmm maybe 'rosie day' rescheduled for....wed......,,,,General,,3,tweet_emotions
@danishaw No. I won't be back until the 7th,,,,General,,1,tweet_emotions
"unopened pack of goat cheese starin me in the face. starving, din not til 6",,,,General,,3,tweet_emotions
Listening to shit music.,,,,General,,4,tweet_emotions
So I got the day off cuz I had hundreds of things to do....then I woke up with a f*ckin migrane...there goes my day in bed,,,,General,,4,tweet_emotions
I misses my bed  so sleepy!,,,,General,,3,tweet_emotions
My friend have an exam in 5 minutes and haven't opened the book.,5.0,4.0,5.0,Academic,14.0,4,synthetic
"o/*\o (high five) to all of our fans! It's finally here! I'll write up a fancy news post shortly, wanted to get the mod itself out ASAP",,,,General,,0,tweet_emotions
My team had a great day.,1.0,1.0,1.0,Social,3.0,0,synthetic
"Finally the school day ended, Friday Friday Friday w00t! But it's raining outside.",,,,General,,3,tweet_emotions
My dad deleted the entire codebase.,5.0,5.0,5.0,Coding,15.0,5,synthetic
@mundah and I'm really glad you were able to watch the game,,,,General,,0,tweet_emotions
Getting ready for week  Its too nice today to be stuck inside working!,,,,General,,4,tweet_emotions
A message from @Songoftheoss Could you let people know I have been booted off,,,,General,,3,tweet_emotions
i JUST fucking cleaned the whole kitchen....and the asshole comes home &amp; is going to make a mess of it...my mom didn't even get to see it,,,,General,,4,tweet_emotions
My dad totaled my car without insurance.,5.0,4.0,5.0,Financial,14.0,4,synthetic
@girlygirl007 Well done! Happy for ya.,,,,General,,0,tweet_emotions
I MISS TUGGER AND MISTO  last night was amazing&lt;3 i was so close to them :'),,,,General,,3,tweet_emotions
Boring starting work weekend soon................ 1st need to get a Tim Coffee so I can make it through this damn night shift........,,,,General,,4,tweet_emotions
"says Finally, Im home.  http://plurk.com/p/rr121",,,,General,,0,tweet_emotions
@Do38 home? where the heck are you? Ima be home so soon! iA!,,,,General,,2,tweet_emotions
"I have drunk hickups. I had a pretty laid back, great night. But I still can't help but be mad about the situation I put myself in",,,,General,,2,tweet_emotions
"Right, I must be off to do some sewing. Bye x",,,,General,,3,tweet_emotions
"Only 8 oral left!  then I have to learn them all but oh welllll, at least I don't have to write them",,,,General,,0,tweet_emotions
I burned down the office.,5.0,5.0,5.0,Career,15.0,5,synthetic
"Hot damn, I'm at fucking Disneyland!",,,,General,,4,tweet_emotions
Lmao i come on mad replies im like damn im missed ... Damn follow friday lmao so im still not important or missed,,,,General,,3,tweet_emotions
My dad lost my passport in a foreign country.,5.0,4.0,5.0,General,14.0,4,synthetic
@TNAaddicted Damn,,,,General,,2,tweet_emotions
I feel sorry for male singers.  they are never gonna be as great Zac Hanson! Pooorr fellas,,,,General,,3,tweet_emotions
We dropped the production database without backups.,5.0,5.0,5.0,Coding,15.0,5,synthetic
My dad dropped the production database without backups.,5.0,5.0,5.0,Coding,15.0,5,synthetic
is off to work ... still &quot;recovering&quot; from an amazing and beautiful weekend. Have I mentioned how incredible my friends are??,,,,General,,0,tweet_emotions
My dad aced the exam.,1.0,1.0,1.0,Academic,3.0,0,synthetic
My friend murdered someone.,5.0,5.0,5.0,General,15.0,5,synthetic
is so gutted she can't get tickets for pink!,,,,General,,4,tweet_emotions
"Pegel..cape ya keliling kuil..but,totally awesome!was amazed by the temple,culture,ambience..truly amazing thailand",,,,General,,0,tweet_emotions
Wide awake and grouchy as fuck.,,,,General,,3,tweet_emotions
@Helmuts hey helmuts!  im ratty if u remember me from scootertechno.. ;),,,,General,,2,tweet_emotions
@Sethhs23 - haha you do that mate  btw have you seen a film called american history x starring edward norton,,,,General,,1,tweet_emotions
Feels very ucky today... I need more DEFENSE Vitamin Water because I don't want to be sick no mores,,,,General,,2,tweet_emotions
Feeling sick at stomach today,,,,General,,2,tweet_emotions
"@TehBlue I don;t know how they interact. I'm getting better with the pain, though. I want to give my poor liver a break.",,,,General,,3,tweet_emotions
My dad have zero bugs in my code.,1.0,1.0,1.0,Coding,3.0,0,synthetic
My team dropped the production database without backups.,5.0,5.0,5.0,Coding,15.0,5,synthetic
Feeling deflated. Hubby saw swing set &amp; thinks is a piece of junk. I thought I had found something good 4 the kids,,,,General,,3,tweet_emotions
My friend am completely prepared.,1.0,1.0,1.0,Academic,3.0,0,synthetic
ummm. no it didnt work so i guess im stuck with this uglyonee,,,,General,,4,tweet_emotions
OFFICIALLY booked for seattle with @cfine1 and @ebotkin12 it's going to be THE best birthday weekend EVER!  @bradlawrence :you made me sad,,,,General,,3,tweet_emotions
My team burned down the office.,5.0,5.0,5.0,Career,15.0,5,synthetic
I am fleeing the country.,5.0,5.0,5.0,General,15.0,5,synthetic
My team have zero bugs in my code.,1.0,1.0,1.0,Coding,3.0,0,synthetic
My dad got 10 years in prison.,5.0,5.0,5.0,General,15.0,5,synthetic
Bless the little girl on BGT!,,,,General,,3,tweet_emotions
"@DeveshM just had a look - missed out by a couple of hours, i'm sorry. i'll let you know next time..",,,,General,,2,tweet_emotions
@annabranch You just let me know how that goes.,,,,General,,0,tweet_emotions
yeaaaah tangerang in vacation,,,,General,,0,tweet_emotions
We crashed the company car into a building.,5.0,5.0,5.0,Career,15.0,5,synthetic
Is waiting for sumone to come online,,,,General,,1,tweet_emotions
phillies gamee with mama for mothers day,,,,General,,1,tweet_emotions
getting ready for the dayyyyyyyyyyyy. i hope work goes good!,,,,General,,0,tweet_emotions
I guess you're not talking about Orlando Magic @whoiskenan! There was nothing magical about it,,,,General,,3,tweet_emotions
@TiaMowry I think you and Tamera should have your own show anyway...the CW or ABC fam is not appreciating you like they should.,,,,General,,2,tweet_emotions
"@lordlucan i had terrible trouble with 'sp' words as a child, would drop the 's' pider, pade etc, needed lessons. bad memories",,,,General,,4,tweet_emotions
"#BGT DCD Seniors were good, but not good enough.",,,,General,,1,tweet_emotions
if you want info on #ecomonday check out http://tinyurl.com/cpv32e &amp; follow @ecomonday . It's like #followfriday but green! (&amp; monday),,,,General,,0,tweet_emotions
@peaches5068 Happy mom's day to you too,,,,General,,0,tweet_emotions
"@DonniesGirl69  Yes,... I blame you all",,,,General,,3,tweet_emotions
@Ponyless soz i neva saw this message till now...if u add then delete me i cant see any messages uve left on my page,,,,General,,2,tweet_emotions
Headache,,,,General,,3,tweet_emotions
We pushed a bug that cost the company 50k.,5.0,4.0,5.0,Coding,14.0,4,synthetic
"@rmilana Hey, Wahts happening in #coffeclub..? I didnt have coffee for two days now  @dharshana",,,,General,,4,tweet_emotions
@Lidybeth inooo arent they just  i wanna just go down there now an meet kyle again.. im too obsessed its not fair!,,,,General,,2,tweet_emotions
I robbed a bank.,5.0,5.0,5.0,Financial,15.0,5,synthetic
"Oh god, a moth was living in a fucking power outlet!  (Actually, my PowerSquid.)",,,,General,,4,tweet_emotions
Facebook decided I'm annoying or abusive because I add lots of friends. At least I have no distractions from coursework now...,,,,General,,4,tweet_emotions
I accidentally replied all with an insult.,5.0,4.0,5.0,Social,14.0,4,synthetic
@heyshanny I can't wait either!!!!! your so welcome  YAY!!!!!!!!!,,,,General,,0,tweet_emotions
My dad burned down the office.,5.0,5.0,5.0,Career,15.0,5,synthetic
this is how we do itttt,,,,General,,3,tweet_emotions
Been job hunting for days. Media and non-media jobs. No lucky  Anyone know of anything???,,,,General,,2,tweet_emotions
"absolutely boiling! Got factor 50+ on! Must not turn orange, must not look like oompa lumpa... My left shoulder is burnt from yesterday",,,,General,,2,tweet_emotions
Rest in peace Sheeba. You will be very missed. I'm off to go cry now.,,,,General,,2,tweet_emotions
My dad got fired today.,5.0,4.0,5.0,Career,14.0,4,synthetic
@littlemissjoey You didn't get a public holiday today? bwahah,,,,General,,1,tweet_emotions
Shots suuuuck!  im done  no more vacines!,,,,General,,4,tweet_emotions
@SkipABeat anytime from now on lol. i'm just reading and stuffs,,,,General,,1,tweet_emotions
chillin with the neighbor,,,,General,,0,tweet_emotions
I committed treason.,5.0,5.0,5.0,General,15.0,5,synthetic
"Hey guys, this is group for people who belong to &quot;Pune Institute of Compute Technology&quot; college, Pune   via http://twibes.com/group/PICT",,,,General,,1,tweet_emotions
"@MirandaBuzzfans dont worry, i will. i HATE it when nobody comments on my pics",,,,General,,4,tweet_emotions
"wow, 5 pm rolled around really fast. I accomplished only one thing on my to do list today...",,,,General,,2,tweet_emotions
"In math class now, about to shoot myself because its so boring.",,,,General,,1,tweet_emotions
@jonathanrknight so great to hear from u again today! U r the best! Cannot wait to see u on the cruise!!! &lt;3 Cindy with the sign,,,,General,,0,tweet_emotions
"plan may changes , nooooooo",,,,General,,4,tweet_emotions
@brianna_love aw i'm not goanna get to see you tonight   cos i have to leave tot's early to go to missy's bday party. pullin a double haha,,,,General,,3,tweet_emotions
